ci_id,hostname,platform,role,location,environment,criticality,criticality_rank,owner_team,status,production_flag
CI-SRV-001,NSS-SRV-001,Ubuntu 24.04,PKI,Distribution Site 2,Production,Tier 1,1,Cloud Operations,Active,1
CI-SRV-002,NSS-SRV-002,Rocky Linux 9,Domain Controller,Distribution Site 1,Test,Tier 2,2,Cloud Operations,Active,0
CI-SRV-003,NSS-SRV-003,Windows Server 2022,Monitoring,AWS,Test,Tier 1,1,Infrastructure,Maintenance,0
CI-SRV-004,NSS-SRV-004,Windows Server 2022,Domain Controller,Distribution Site 2,Development,Tier 1,1,Identity,Active,0
CI-SRV-005,NSS-SRV-005,Windows Server 2022,Backup,Distribution Site 1,Production,Tier 1,1,Infrastructure,Maintenance,1
CI-SRV-006,NSS-SRV-006,Ubuntu 24.04,Backup,AWS,Test,Tier 3,3,Infrastructure,Maintenance,0
CI-SRV-007,NSS-SRV-007,Windows Server 2022,File Server,Distribution Site 1,Development,Tier 2,2,Cloud Operations,Active,0
CI-SRV-008,NSS-SRV-008,Ubuntu 24.04,Application Server,Distribution Site 1,Test,Tier 2,2,Identity,Maintenance,0
CI-SRV-009,NSS-SRV-009,Ubuntu 24.04,Backup,Headquarters,Test,Tier 1,1,Infrastructure,Maintenance,0
CI-SRV-010,NSS-SRV-010,Ubuntu 24.04,File Server,Distribution Site 1,Development,Tier 2,2,Security,Maintenance,0
CI-SRV-011,NSS-SRV-011,Rocky Linux 9,Database Server,Distribution Site 1,Test,Tier 1,1,Cloud Operations,Maintenance,0
CI-SRV-012,NSS-SRV-012,Windows Server 2022,Application Server,Distribution Site 1,Test,Tier 2,2,Infrastructure,Maintenance,0
CI-SRV-013,NSS-SRV-013,Rocky Linux 9,Domain Controller,Distribution Site 1,Development,Tier 2,2,Infrastructure,Maintenance,0
CI-SRV-014,NSS-SRV-014,Rocky Linux 9,Monitoring,Headquarters,Production,Tier 1,1,Identity,Maintenance,1
CI-SRV-015,NSS-SRV-015,Ubuntu 24.04,File Server,Headquarters,Test,Tier 2,2,Identity,Active,0
CI-SRV-016,NSS-SRV-016,Rocky Linux 9,Domain Controller,Distribution Site 1,Development,Tier 2,2,Cloud Operations,Maintenance,0
CI-SRV-017,NSS-SRV-017,Rocky Linux 9,Monitoring,Distribution Site 1,Development,Tier 3,3,Identity,Maintenance,0
CI-SRV-018,NSS-SRV-018,Windows Server 2022,PKI,Distribution Site 2,Development,Tier 1,1,Cloud Operations,Active,0
CI-SRV-019,NSS-SRV-019,Ubuntu 24.04,Database Server,Distribution Site 2,Test,Tier 3,3,Security,Active,0
CI-SRV-020,NSS-SRV-020,Rocky Linux 9,Backup,Distribution Site 1,Test,Tier 2,2,Security,Active,0
CI-SRV-021,NSS-SRV-021,Windows Server 2022,Database Server,Distribution Site 1,Test,Tier 3,3,Cloud Operations,Active,0
CI-SRV-022,NSS-SRV-022,Ubuntu 24.04,Database Server,Headquarters,Test,Tier 3,3,Infrastructure,Active,0
CI-SRV-023,NSS-SRV-023,Ubuntu 24.04,File Server,Distribution Site 2,Production,Tier 3,3,Cloud Operations,Active,1
CI-SRV-024,NSS-SRV-024,Rocky Linux 9,Backup,AWS,Production,Tier 2,2,Cloud Operations,Active,1
