Alert ID,Detected At,Domain,Configuration Item,Alert,Severity,Source,Owner,Related Incident,Closed At,Status,Resolution,Preventive Action
ALT-2026-001,2026-07-08 08:14,Endpoint,PC-FIN-022,Disk capacity below 10%,High,Windows Monitoring,Jamie Christian II,INC-2026-082,2026-07-08 09:02,Closed,Temporary files removed; archive moved; free space restored to 31%,Capacity trend added to weekly review
ALT-2026-002,2026-07-11 13:26,Security,LT-SALES-014,Microsoft Defender malware detection,Critical,Microsoft Defender,Jamie Christian II,INC-2026-091,2026-07-11 14:18,Closed,Device isolated; file quarantined; full scan clean,Blocked hash added to alert watchlist
ALT-2026-003,2026-07-15 09:47,Network,VPN-GW-01,VPN authentication failure rate above 20%,High,VPN Monitoring,Alex Morgan,INC-2026-097,2026-07-15 10:36,Closed,Expired RADIUS certificate replaced,Certificate expiry alert added at 30 days
ALT-2026-004,2026-07-22 09:01,Service,FS-01,File share unavailable from remote network,Critical,Synthetic Availability Check,Jamie Christian II,INC-2026-104,2026-07-22 09:41,Closed,VPN DNS configuration corrected,Peer review and DNS validation added
ALT-2026-005,2026-07-24 11:08,Endpoint,LT-HR-007,BitLocker protection suspended,High,Endpoint Compliance,Taylor Reed,INC-2026-109,2026-07-24 11:52,Closed,Protection resumed and recovery key escrow verified,Compliance policy updated to alert after 15 minutes
ALT-2026-006,2026-07-27 10:24,Microsoft 365,EXO-Service,Outlook send/receive failures across two departments,High,Service Desk Correlation,Jamie Christian II,INC-2026-117,2026-07-27 11:36,Closed,Stale authentication tokens refreshed,Pilot group added for identity changes
ALT-2026-007,2026-07-29 07:32,Print,PRN-FIN-01,Print queue backlog above 40 jobs,Medium,Print Server Monitor,Jordan Lee,INC-2026-120,2026-07-29 08:11,Closed,Stuck job removed; spooler restarted,Queue threshold retained; driver update scheduled
ALT-2026-008,2026-07-30 07:49,Identity,DC01,Account lockout events above baseline,High,Windows Event Forwarding,Jamie Christian II,INC-2026-123,2026-07-30 09:02,Closed,Stale scheduled-task credential removed,Service-account dependency review added
ALT-2026-009,2026-08-01 15:16,Endpoint,LT-OPS-009,Endpoint offline for more than 24 hours,Low,Endpoint Management,Alex Morgan,,2026-08-02 09:10,Closed,User confirmed approved leave; suppression applied,Maintenance-calendar integration documented
ALT-2026-010,2026-08-03 12:04,Cloud,Azure-Backup-01,Backup job failed,High,Azure Monitor,Taylor Reed,INC-2026-128,2026-08-03 13:02,Closed,Credential expired; managed identity reauthorized,Credential expiry alert created
